NO_OF_FRAMES	180
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
39	0.39000	525.416	1114.499	1252.244	422.916	1086.334	1260.787	426.823	1337.490	1233.350	489.266	1354.023	1129.525	660.504	1155.244	1051.773	255.529	1412.956	1077.930	655.742	1042.228	734.418	97.791	1222.385	798.675	580.859	876.556	860.384	227.485	1054.537	895.093	593.393	956.235	1470.713	325.198	1012.025	769.588	725.305	714.462	921.971	525.864	1459.067	593.020
40	0.40000	525.407	1114.474	1252.180	422.901	1086.335	1260.730	426.876	1337.500	1233.373	489.276	1354.057	1129.507	660.534	1155.317	1051.715	255.533	1413.001	1077.882	655.687	1042.342	734.321	97.827	1222.510	798.575	580.813	876.664	860.269	227.490	1054.645	894.977	593.492	956.073	1470.510	325.197	1012.213	769.409	725.278	714.542	921.760	525.911	1459.052	592.973
41	0.41000	525.391	1114.444	1252.110	422.878	1086.326	1260.667	426.923	1337.504	1233.394	489.284	1354.091	1129.491	660.563	1155.390	1051.655	255.534	1413.044	1077.836	655.640	1042.469	734.221	97.861	1222.642	798.472	580.769	876.780	860.149	227.486	1054.743	894.855	593.634	955.850	1470.265	325.169	1012.403	769.214	725.253	714.626	921.529	525.957	1459.024	592.916
42	0.42000	525.369	1114.410	1252.030	422.849	1086.309	1260.595	426.965	1337.504	1233.415	489.290	1354.124	1129.479	660.590	1155.459	1051.595	255.534	1413.089	1077.795	655.602	1042.613	734.115	97.889	1222.780	798.368	580.731	876.905	860.025	227.479	1054.834	894.725	593.818	955.572	1469.982	325.123	1012.578	769.010	725.230	714.717	921.281	525.995	1458.993	592.862
43	0.43000	525.341	1114.370	1251.938	422.813	1086.285	1260.512	427.002	1337.500	1233.437	489.295	1354.157	1129.469	660.614	1155.520	1051.535	255.535	1413.138	1077.757	655.576	1042.779	734.000	97.912	1222.920	798.265	580.700	877.041	859.895	227.473	1054.915	894.583	594.039	955.244	1469.669	325.066	1012.723	768.806	725.207	714.813	921.023	526.013	1458.980	592.831
44	0.44000	525.306	1114.325	1251.837	422.770	1086.255	1260.416	427.036	1337.492	1233.462	489.301	1354.188	1129.461	660.633	1155.573	1051.476	255.538	1413.190	1077.722	655.563	1042.963	733.878	97.930	1223.060	798.160	580.679	877.187	859.757	227.472	1054.983	894.427	594.288	954.870	1469.331	325.003	1012.834	768.606	725.185	714.912	920.767	526.007	1458.998	592.829
45	0.45000	525.264	1114.274	1251.728	422.718	1086.219	1260.310	427.068	1337.480	1233.492	489.307	1354.217	1129.453	660.648	1155.623	1051.419	255.545	1413.243	1077.690	655.560	1043.158	733.749	97.944	1223.200	798.052	580.668	877.339	859.611	227.478	1055.039	894.258	594.557	954.452	1468.970	324.935	1012.923	768.408	725.166	715.010	920.520	525.984	1459.045	592.851
46	0.46000	525.213	1114.215	1251.616	422.659	1086.175	1260.199	427.100	1337.466	1233.526	489.313	1354.244	1129.441	660.656	1155.677	1051.368	255.554	1413.295	1077.661	655.567	1043.354	733.617	97.956	1223.340	797.941	580.668	877.492	859.456	227.487	1055.083	894.078	594.841	953.989	1468.586	324.863	1013.009	768.212	725.151	715.106	920.285	525.959	1459.100	592.875
47	0.47000	525.154	1114.150	1251.507	422.591	1086.126	1260.086	427.131	1337.449	1233.564	489.318	1354.266	1129.423	660.654	1155.744	1051.330	255.566	1413.346	1077.632	655.582	1043.545	733.485	97.964	1223.483	797.832	580.675	877.641	859.293	227.497	1055.120	893.888	595.142	953.473	1468.175	324.787	1013.113	768.012	725.141	715.201	920.059	525.949	1459.132	592.877
48	0.48000	525.087	1114.079	1251.403	422.512	1086.073	1259.974	427.163	1337.429	1233.601	489.322	1354.280	1129.396	660.640	1155.832	1051.312	255.579	1413.394	1077.604	655.602	1043.722	733.356	97.969	1223.627	797.731	580.688	877.776	859.128	227.503	1055.157	893.690	595.463	952.898	1467.735	324.708	1013.256	767.803	725.138	715.293	919.841	525.967	1459.120	592.837
