NO_OF_FRAMES	181
NO_OF_CAMERAS	0
NO_OF_MARKERS	14
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	--
DATA_INCLUDED	3D
MARKER_NAMES	S01_LFHD	S01_RFHD	S01_OZ	S01_C7	S01_LSHO	S01_RSHO	S01_LELB	S01_RELB	S01_LWRB	S01_RWRB	S01_IVIBoUp	S01_IVIBoLo	S01_IVISc	S01_SACR	
Frame	Time	S01_LFHD X	S01_LFHD Y	S01_LFHD Z	S01_RFHD X	S01_RFHD Y	S01_RFHD Z	S01_OZ X	S01_OZ Y	S01_OZ Z	S01_C7 X	S01_C7 Y	S01_C7 Z	S01_LSHO X	S01_LSHO Y	S01_LSHO Z	S01_RSHO X	S01_RSHO Y	S01_RSHO Z	S01_LELB X	S01_LELB Y	S01_LELB Z	S01_RELB X	S01_RELB Y	S01_RELB Z	S01_LWRB X	S01_LWRB Y	S01_LWRB Z	S01_RWRB X	S01_RWRB Y	S01_RWRB Z	S01_IVIBoUp X	S01_IVIBoUp Y	S01_IVIBoUp Z	S01_IVIBoLo X	S01_IVIBoLo Y	S01_IVIBoLo Z	S01_IVISc X	S01_IVISc Y	S01_IVISc Z	S01_SACR X	S01_SACR Y	S01_SACR Z	
34	0.34000	330.399	1015.171	1209.893	232.743	1054.524	1206.205	386.553	1248.539	1247.020	453.168	1242.593	1138.060	502.903	1000.137	1036.098	299.919	1404.911	1099.012	451.029	942.881	722.679	75.431	1365.211	802.835	293.670	866.673	854.667	75.590	1152.008	891.351	119.805	912.809	1514.021	175.121	1050.274	776.042	314.557	595.184	907.946	593.089	1373.882	600.093
35	0.35000	330.157	1015.246	1209.310	232.560	1054.640	1205.455	386.342	1248.471	1247.083	453.244	1242.826	1138.017	503.247	1000.440	1036.080	300.000	1405.223	1098.733	452.007	943.242	722.584	76.219	1366.856	801.583	294.582	866.863	854.352	75.569	1153.127	888.943	120.771	910.793	1510.439	175.009	1051.903	773.054	315.941	595.299	907.544	593.132	1373.982	599.987
36	0.36000	329.987	1015.331	1208.773	232.428	1054.752	1204.765	386.147	1248.430	1247.173	453.310	1243.049	1137.980	503.556	1000.737	1036.056	300.054	1405.521	1098.485	452.928	943.647	722.466	76.934	1368.426	800.449	295.449	867.075	854.071	75.559	1154.195	886.651	122.130	908.869	1506.967	174.775	1053.391	770.138	317.252	595.438	907.154	593.164	1374.083	599.896
37	0.37000	329.894	1015.417	1208.289	232.348	1054.851	1204.146	385.969	1248.419	1247.274	453.362	1243.262	1137.948	503.825	1001.023	1036.024	300.088	1405.805	1098.269	453.803	944.086	722.325	77.577	1369.921	799.412	296.283	867.298	853.802	75.557	1155.225	884.470	123.833	907.034	1503.618	174.433	1054.766	767.319	318.484	595.601	906.754	593.187	1374.180	599.813
38	0.38000	329.870	1015.504	1207.861	232.317	1054.931	1203.608	385.807	1248.441	1247.369	453.403	1243.464	1137.922	504.052	1001.294	1035.983	300.113	1406.079	1098.084	454.640	944.543	722.165	78.155	1371.340	798.452	297.095	867.527	853.520	75.561	1156.225	882.401	125.818	905.285	1500.393	173.997	1056.052	764.608	319.642	595.784	906.323	593.204	1374.267	599.736
39	0.39000	329.901	1015.591	1207.496	232.326	1054.990	1203.153	385.659	1248.495	1247.441	453.436	1243.656	1137.901	504.241	1001.547	1035.935	300.142	1406.341	1097.926	455.447	945.010	721.992	78.677	1372.694	797.568	297.887	867.754	853.203	75.567	1157.198	880.449	128.026	903.612	1497.280	173.473	1057.264	761.996	320.740	595.985	905.843	593.216	1374.340	599.665
40	0.40000	329.971	1015.680	1207.201	232.365	1055.033	1202.774	385.522	1248.579	1247.485	453.468	1243.837	1137.883	504.398	1001.782	1035.882	300.181	1406.592	1097.796	456.228	945.480	721.807	79.154	1373.992	796.771	298.649	867.968	852.838	75.569	1158.146	878.615	130.401	901.998	1494.258	172.852	1058.407	759.459	321.799	596.197	905.307	593.224	1374.397	599.601
41	0.41000	330.068	1015.770	1206.977	232.426	1055.065	1202.460	385.393	1248.689	1247.500	453.504	1244.007	1137.868	504.534	1001.996	1035.826	300.233	1406.825	1097.686	456.983	945.952	721.607	79.595	1375.238	796.059	299.372	868.166	852.420	75.562	1159.067	876.899	132.901	900.421	1491.305	172.120	1059.488	756.977	322.837	596.412	904.712	593.226	1374.438	599.546
42	0.42000	330.180	1015.861	1206.816	232.499	1055.094	1202.195	385.271	1248.818	1247.494	453.548	1244.165	1137.853	504.659	1002.188	1035.769	300.295	1407.038	1097.586	457.708	946.429	721.387	80.001	1376.426	795.409	300.047	868.347	851.952	75.540	1159.953	875.292	135.497	898.861	1488.406	171.265	1060.522	754.542	323.861	596.624	904.060	593.218	1374.461	599.501
43	0.43000	330.303	1015.953	1206.701	232.583	1055.123	1201.963	385.156	1248.955	1247.475	453.598	1244.310	1137.839	504.788	1002.361	1035.709	300.360	1407.232	1097.488	458.396	946.908	721.144	80.368	1377.548	794.792	300.671	868.518	851.445	75.501	1160.803	873.779	138.177	897.305	1485.561	170.293	1061.528	752.157	324.866	596.831	903.345	593.199	1374.467	599.465
